imdb_title_id,ordering,imdb_name_id,category
28096,2,7,actor
28096,3,12,actress
28096,4,864931,actress
28096,5,562845,director
28096,6,448981,writer
28096,7,202681,writer
28096,8,792845,writer
28096,9,5835,cinematographer
28096,10,548929,editor
28118,1,73,actress
28118,2,269647,actress
28118,3,1784,actress
28118,4,355095,actor
28118,5,191899,director
28118,6,375500,writer
28118,7,499628,writer
28118,8,876223,writer
28118,9,309557,writer
28118,10,817809,writer
28212,1,796662,actress
28212,2,393028,actor
28212,3,856469,actor
28212,4,517058,actor
28212,5,33,director
28212,6,175676,writer
28212,7,71657,writer
28212,8,67308,writer
28212,9,801026,writer
28212,10,256532,writer
28315,1,73,actress
28315,2,1870,actor
28315,3,269647,actress
28315,4,657874,actor
28315,5,782682,director
